"Test case (s, e, lmb, mu)",E0 E(TTR),E0 Var(TTR),E1 E(TTR),E1 Var(TTR),E2 E(TTR),E2 Var(TTR),E3 E(TTR),E3 Var(TTR),E4 E(TTR),E4 Var(TTR),E5 E(TTR),E5 Var(TTR)
"(50, 75, 1, 1)",0.9666311435203988,0.041373922844181066,1.009326644849495,0.04255971397451758,1.0114886032147772,0.044997866569449985,1.0522630046590935,0.047747950855512256,0.9693069119768752,0.038848411957955846,1.0085832521957754,0.04159176954456172
"(50, 100, 1, 1)",0.9774420716355441,0.019821257699333614,0.9981066737348893,0.020422666400869063,0.9992633757484359,0.019966426437950123,1.019122331110155,0.020910365536307034,0.9791479502499062,0.018850119014961923,0.9986095715792536,0.01974364391228577
"(50, 125, 1, 1)",0.9920838308132001,0.013595909454986153,1.00607184807759,0.01373238605517862,1.006211297240403,0.013738788234876936,1.019786854887011,0.014029801869595154,0.992789257752716,0.013158451264032216,1.0061851426885287,0.01344386370916632
"(50, 150, 1, 1)",0.9901342389606629,0.010198369220615842,1.0003426129480861,0.010289133889777313,1.000838220714851,0.010250447054343944,1.0107822151858918,0.01048853252426225,0.9904809223830175,0.009919406780720107,1.00032167574328,0.010149917016225505
"(50, 75, 2, 3)",2.5872748526774116,0.6277575286157512,3.017703276999495,0.8093524257069485,3.031060766668407,0.8677892853427579,3.403533686188869,1.0812852185812047,2.6814001831737913,0.546780818576222,3.014872811912887,0.7167842514669741
"(50, 100, 2, 3)",2.8076900176549353,0.32608363449911393,2.998581938606867,0.3730980644648745,3.006523866535831,0.36376271736785193,3.1890800326801982,0.425478886486747,2.8283393400061403,0.29842112313237473,3.001237060218325,0.35869899091588314
"(50, 125, 2, 3)",2.8714461474056927,0.22649927774337958,2.9946406142453,0.23759559617745785,2.993449639459195,0.23191258298327502,3.1155626564242382,0.2534312690685163,2.8770031442443273,0.2058356074220246,2.994478592862287,0.2256419117807515
"(50, 150, 2, 3)",2.9175710733525304,0.1793764393619719,3.0129419484508717,0.1865611338876264,3.016773964936297,0.18520572687404968,3.1095348674706855,0.19659337414648345,2.925578038199184,0.1681496063804159,3.01565870058168,0.17936541042694518
"(50, 75, 5, 10)",5.432307173297514,8.968062489671636,9.431368557538882,19.381986705265653,10.59727098960338,37.5073703256045,14.235266808241892,57.66796768781672,6.954958475102058,6.33981203831065,9.560105894118355,14.313166847812674
"(50, 100, 5, 10)",7.588526986897148,7.349203825324938,9.917439781498386,10.337873345033485,10.28555876342375,12.477382630236352,12.215096397427128,16.790957363825438,8.319129618146357,5.810371644751438,9.919306369332164,8.585404689213048
"(50, 125, 5, 10)",8.456575992965918,5.476405061495765,9.90993749102419,6.795670775699204,10.059684120276637,7.615193154431973,11.332436437943272,9.480916466432198,8.781201323122053,4.658393117871654,9.901835070999494,6.003180082250943
"(50, 150, 5, 10)",8.992161735818508,4.648523433731655,10.054353126971959,5.276995557203671,10.158227271595537,5.59481083691481,11.110177172565924,6.629206079393363,9.176314713005064,3.974321002379747,10.039979200265666,4.785231931068515
"(100, 900, 30, 80)",71.74409247653558,220.40914405490412,75.35228345558097,210.13780041355213,81.04671298770181,271.1126181131652,84.0476245924966,280.34900260493754,73.21802018833253,190.679404689195,75.942788368565,198.60070347108655
"(100, 1000, 30, 80)",72.56837710727275,192.6731076502917,75.62052146818947,188.74069336175657,80.76511289690285,223.69009196383652,83.29272298702689,228.85965747723387,73.68820807275462,167.40617649808632,76.00562156968005,172.27350692409715
"(100, 1100, 30, 80)",73.29936290153204,174.63596017213334,76.05644200443908,170.66856579934873,80.4486169156667,207.37538310780312,82.76465621181944,210.47726175860095,74.17190588367629,161.59149446053166,76.31046846834327,163.64887161593072
"(100, 1200, 30, 80)",73.83158886433924,153.25954660126328,76.23388081420616,147.61899360610383,80.20607990926442,173.45417838288057,82.3030935312168,176.29358988305103,74.51351932885646,136.0712728103294,76.46647119232476,138.6383571228112
"(300, 2100, 80, 50)",48.6236600444318,114.48441757281341,49.92329951298951,116.21866946797859,50.06927651873274,116.3081448793218,51.35450396673284,121.93497444897677,48.69265499716574,107.3669249965011,49.944752449057404,112.76858814344331
"(300, 2300, 80, 50)",48.50110808389371,95.84101388232413,49.758998029243656,98.74210200921178,49.84422468693742,100.21060589621705,50.99873140881441,104.92114837861035,48.5825312527012,92.08489360653506,49.70935337086383,96.52152579454787
"(300, 2500, 80, 50)",49.03986278186887,88.85415836156744,50.20085176353142,91.60786917714091,50.27569541537826,91.00985922163396,51.3926573897507,95.97345909296314,49.10440914658351,84.97865180776327,50.195821191090985,89.70697045236545
"(300, 2700, 80, 50)",49.18037062633969,87.08687273862469,50.140897405472906,87.75999749765609,50.355181818534284,90.00057137015467,51.28036450681339,92.18518131792428,49.24608308541384,83.61316096474914,50.152616637845,85.81683680074767
